Latest education status,"City of Residence, current","Country of Residence, current",Gender,Choose the digital tools you are currently using for learning:,Industry that you are currently in:,Current stage of DATA CAREER,Is your work city the same as your city of residence?,Work location - specify city,Monthly Salary Range (Or monthly income from main source),Type of work,Work set-up,What best describes MAJORITY of your day-to-day role?,What other descriptions comprise the REST of your role? (Click all that apply),What is the size of your Data Team?,What are the data INGESTION tools you currently use? (Optional),What are the data TRANSFORMATION tools you currently use?  (Optional),What are the data WAREHOUSES you currently use?   (Optional),What are the data ORCHESTRATION tools you currently use?   (Optional),What are the BUSINESS INTELLIGENCE tools you currently use?  (Optional),What are the REVERSE ETL tools you currently use?   (Optional),What are the DATA QUALITY tools you currently use? (Optional),What are the DATA CATALOGS you currently use?   (Optional),What are the cloud platforms that you currently use?    (Optional),What are the non-cloud platforms that you currently use?  (Optional),Which of the following general tools do you use? Choose all that apply.,Which of the following do you use on a regular basis? Choose all that apply.,Do you currently use AI in your workflow or study? Choose all that apply.,Do you use any of the following hosted notebook products?,What hardware do you currently use for data?,Whether or not aware of the free resources in the DEP website,"If aware of the free resources, have you used at least one of the resources in the DEP website?","Thinking of data-related communities, what other Facebook communities do you follow?",Any specific needs you are trying to address by joining DEP Facebook group?,"Any specific tasks, skills, knowledge or resources you are willing to contribute to the group?","Thinking of ways to improve communications in the group, do you have any suggestions?","Thinking of your most recent job, which platform or method gave you the most success?",Type of employer,Age
College degree,"Cavite, Philippines",Philippines,Female,"Datacamp, Freecodecamp","IT, BPO, and Business Services",Professional,Work city same as residence,Tagum City,"25,001 to 35,000",Full-time,Mostly work from home/ fully remote,Virtual Assistant ,"Management, Developer",4 to 5,none,Don't know,AWS Redshift,none,NONE,.,_,N/A,Amazon Web Services (AWS),NONE,"Google sheets, Excel",.,"Chatgpt, Claude, Copilot, Gemini",PythonAnywhere Jupyter Notebook,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","AI Pilipinas, Analytics Association of the Philippines, Big Data Analytics PH, Community: SPARTA PH, Data Analytics Philippines, FTW Foundation, MapR Users Meetup, Project SPARTA, Python Philippines, R User Group - Philippines, SPARTA PH: Data Engineer, Women Who Code Manila","Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Resource for specific topic",_,"LinkedIn, My network  - people I know",Multinational employer,25
College degree,"Ligao City, Albay Philippines",Philippines,Male,"Codecademy, Coursera, Datacamp, Freecodecamp, Google Analytics, Khan Academy, LinkedIn Learning, Udemy, W3Schools, Youtube bootcamp",Patents,Career shifter,Work city same as residence,Taguig City,"45,001 to 55, 000",Full-time,Hybrid,Analytics Engineer,"Management, Business Analyst, Product Advocate, Developer, Academic",6 to 10,Don't know,Spark,Don't know,Don't know,Power BI,Don't know,Don't know,Don't know,Microsoft Azure,.,"Google sheets, Excel, Dropbox, Google Drive, Zoom, Google Meet, Discord",_,Chatgpt,Kaggle Notebooks,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Data Analytics Philippines, Power Apps Pilipinas Community",Upskill / Skill acquisition,  ,N/A,LinkedIn,Multinational employer,33
College degree,"Quezon City, Philippines",Philippines,Female,LinkedIn Learning,"IT, BPO, and Business Services",Professional,Work city same as residence,Baguio City,"45,001 to 55, 000",Full-time,100% onsite,AI Engineer,Data Engineer,30+,N/A,Pandas,NONE, ,.,na,None, ,N/A,NA,"Google sheets, Excel, Google Drive, OneDrive, Zoom, Google Meet, Slack, Discord",None,Chatgpt,PythonAnywhere Jupyter Notebook,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Analytics Association of the Philippines, Big Data Analytics PH, Community: SPARTA PH, Data Analytics Philippines, Datasense Philippines, DevOps Philippines, Eskwelabs Data Science Aral-Aral Group, Project SPARTA","Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Joint initiative with other groups, Lead a study group, Mentor, Resource for specific topic, Co-training/ Training, Volunteer for group initiatives",Regular reminders for new and upcoming events?,N/A,Local employer,25
College degree,"Cavite, Philippines",Philippines,Female,"Freecodecamp, Youtube bootcamp",Not working,Student/ New grad/ Career Break, ,NONE,,na,N/A,NA, ,_,na,na,  ,.,.,_,_,_, ,.,"Google sheets, Excel, Google Drive, Google Meet, Discord","Appscript (Google), Javascript, M language (Power Query), Python","No, I do not use AI currently",none,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Artificial Intelligence Philippines, AWS AI/ML, Data Analytics Philippines, DEVCON Community Group, DEVCON Philippines, FTW Foundation, WiTech","Career advancement, Continued learning, Upskill / Skill acquisition, Network",none,None,.,na,26
College degree,Batangas,Philippines,Male,"Cisco, Coursera, Datacamp, MicrosoftLearn, Udemy, W3Schools",,Student/ New grad/ Career Break,none,na,,NA,NA, ,N/A,None,NONE,None,None,  ,na,na,N/A,NA,NONE,none,"Google sheets, Excel, Google Drive, Zoom, MS Teams, Google Meet, Slack, Discord",  ,"Chatgpt, Copilot, Gemini, Github copilot",Colab Notebooks,laptop,"No, I just found out now.","No, I just browsed through.","AWS AI/ML, Power BI Users Meetup, Software DevOps & Data","Career advancement, Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Coordinate during events, Volunteer for group initiatives",.,_,"Hospital, IT Operations ",21
Master's degree,"Davao City, Philippines",Malaysia,Male,"Datacamp, Freecodecamp, Udemy, Youtube bootcamp",Not working,Professional,Work city different from residence,US,"125,001 to 250,000",Freelance,Im a PhD student,Auditor,"Data Analyst, Data Scientist, Cloud Architect",4 to 5,Custom,Sql,"Azure Synapse, Databricks","Don't know, dbt cloud? ",Power BI,Don't know,"Monte Carlo Data, Datafold",AWS Glue Data Catalog,"Microsoft Azure, Databricks","Apache Kafka, Oracle Database, Splunk","Google sheets, Excel, OneDrive, Zoom, MS Teams","DAX (Power BI), M language (Power Query), SQL","No, I do not use AI currently",Kaggle Notebooks,laptop and desktop,"No, I just found out now.",.,none,"Decision to shift, Upskill / Skill acquisition, Network","Coordinate during events, Joint initiative with other groups", ,"LinkedIn, OnlineJobs.ph",Taking a career break at the moment,25
College degree,"Calamba, Laguna, Philippines",Qatar,Male,"Datacamp, edX, Udemy, W3Schools, Zoomcamp","IT, BPO, and Business Services",Career shifter,Work city same as residence,Cebu City,"65,001 to 75,000",Full-time,100% onsite,Research and operations,"Data Analyst, Data Governance Lead",1 - Just me,N/A,Pandas,NONE, ,"Power BI, Tableau",none,.,_,"Amazon Web Services (AWS), Google Cloud Platform (GCP)",None,Excel,SQL,Chatgpt,N/A,desktop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",Project SPARTA,Upskill / Skill acquisition,"Answer surveys, Coordinate during events",the communication in the group is great so far.,LinkedIn,Local employer,43
College degree,"Taguig, Philippines",Philippines,Male,Just google,"IT, BPO, and Business Services",Professional,Work city same as residence,Manila,"15,001 to 25,000",Full-time,100% onsite,Data Analyst,"digital marketing, e-commerce",11 to 30,N/A,.,"Databricks, Big Query",na,Power BI,Don't know,Don't know,NONE,"Google Cloud Platform (GCP), Databricks","Oracle Database, SSMS","Google sheets, Excel, Google Drive, Trello, Zoom, Google Meet","DAX (Power BI), M language (Power Query), Python, SQL","Chatgpt, Copilot, Gemini",none,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Community: SPARTA PH, Data Analytics Philippines","Career advancement, Continued learning, Upskill / Skill acquisition, Network","Mentor, Resource for specific topic, Co-training/ Training, Volunteer to speak in events",I t hink the communication in the group is fine as it is.,My network  - people I know,Local employer,31
College degree,"Quezon City, Philippines",Philippines,Male,Coursera,Not working,Student/ New grad/ Career Break,na,none,,.,.,NA,none,., ,NONE,none,NA,.,None,na,na,NA,_,"Google sheets, Excel, Google Drive, Discord","Python, Excel","Chatgpt, Claude, Copilot, Gemini, Jasper AI",none,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Python Philippines, SPARTA PH: Data Engineer","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network","Answer surveys, Joint initiative with other groups, Resource for specific topic, Co-training/ Training",none, ,None,23
College degree,"Paranaque, Philippines",Philippines,Male,Not currently using any digital tools for learning,Not working,Career shifter,Work city different from residence,Taguig City,"35,001 to 45,000",Full-time,Hybrid,Data Analyst,"Data Engineer, Data Analyst, Business Analyst",1 - Just me,none,.,Mongodb,  ,na,NA,NA,N/A,"Microsoft Azure, Sharepoint",NONE,"Excel, Zoom","DAX (Power BI), M language (Power Query), VBA","Chatgpt, Claude, Gemini","Kaggle Notebooks, Colab Notebooks, PythonAnywhere Jupyter Notebook",laptop,"No, I just found out now.","No, I just browsed through.","AIM-Master of Science in Data Science, Analytics Association of the Philippines, AWS AI/ML, Data Analytics Philippines, Data and Analytics Manila, Datasense Philippines, DevOps Philippines, DEVCON Community Group, Java User Group Philippines, Power BI Philippines UG, Power BI Users Meetup, Project SPARTA, R User Group - Philippines","Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Joint initiative with other groups, Volunteer for group initiatives","When some posts sparks my interest or atleast I know about them, I usually initiate conversation with them. However, it seems that I lack this mutual understanding with them that's why it's hard for me to improve communications with them.",Indeed,N/A,34
College degree,"San Mateo, Rizal",Philippines,Male,"Datacamp, Youtube bootcamp",Not working,Professional,Work city same as residence,Makati City,"15,001 to 25,000",Full-time,100% onsite,Software Engineer,Appraise properties and Machineries,2 to 3,  , , ,  ,"Power BI, Excel",_,none,NONE,NA,na,"Google sheets, Excel, Google Drive, Zoom, MS Teams, Google Meet","Python, SQL","Chatgpt, Copilot, Gemini",NONE,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",none,_,"Answer surveys, Share insights to members",more events,My network  - people I know,Local employer,24
Secondary school student,"Quezon City, Philippines",Philippines,Male,"Coursera, Datacamp, W3Schools",,Student/ New grad/ Career Break,  ,None,, ,., ,_,.,N/A,N/A,.,None, ,none,N/A,None,  ,NA,"Google sheets, Google Drive, Zoom, Google Meet","Javascript, Python, SQL, Typescript","Chatgpt, Gemini",none,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","AI Pilipinas, Big Data Analytics PH, Community: SPARTA PH, Data Analytics Philippines, Project SPARTA","Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Coordinate during events",  ,NA,NA,26
College degree,"Caloocan, Philippines",Philippines,Male,"Datacamp, Udemy",Retail,Career shifter,Work city same as residence,Quezon City,"65,001 to 75,000",Freelance,Hybrid,AI Engineer,Developer,1 - Just me,N/A,Pandas,Snowflake,N/A,"Don't know, None",.,.,na,"Microsoft Azure, Snowflake",none,"Google sheets, Excel, Google Drive, Clickup, Zoom, Google Meet",NA,"Chatgpt, Gemini","Colab Notebooks, PythonAnywhere Jupyter Notebook",laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",Data Analytics Philippines,"Career advancement, Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Connect with sponsors",  ,"My network  - people I know, Facebook",Multinational employer,29
College degree,Sohag,Egypt,Female,"LinkedIn Learning, W3Schools",Not working,Student/ New grad/ Career Break, ,none,,  ,  ,na,None,none,_,_,none,none,na,  ,NONE,NA,N/A,_,"Google sheets, Google Drive, Zoom, Discord","Python, SQL, VBA","No, I do not use AI currently",N/A,desktop,"No, I just found out now.","No, I just browsed through.","Community: SPARTA PH, Data Analytics Philippines, Datasense Philippines, Project SPARTA, UP NEC","Career advancement, Upskill / Skill acquisition","Answer surveys, Connect with sponsors, Coordinate during events, Joint initiative with other groups, Regularly post content, Resource for specific topic, Co-training/ Training",  ,na,NONE,24
Secondary school student,"Manila, Philippines",Philippines,Male,"Cisco, Datacamp, Freecodecamp, Khan Academy, Udemy, W3Schools, Youtube bootcamp",Own Business/ Consultancy/Freelance,Student/ New grad/ Career Break,NONE,NONE,,_,., ,N/A,NA,  ,_,NONE,N/A,none,  ,None,none,na,na,"Excel, Google Drive, Zoom, MS Teams, Google Meet, Discord","DAX (Power BI), Python, SQL",Chatgpt,N/A,laptop,"No, I just found out now.","No, I just browsed through.",AI Society,"Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network","Answer surveys, Coordinate during events, Volunteer for group initiatives","1. Invite other people who want to pursue the world of data management industry.
2. Share the relevant posts of other members in the group on my newsfeed to leverage attention to those people who are aspirants or career shifters in the field of data industry.
3. Reply to the comments or posts of other members to help them out to their related concerns.
4. Share your significant ideas, suggestions, inspiring messages or any topics or projects that you can contribute for the benefit of the members.
5. Be empathetic. ",.,Local employer,19
College degree,"Quezon City, Philippines",Philippines,Male,"LinkedIn Learning, Udemy, W3Schools","IT, BPO, and Business Services",Professional,Work city different from residence,Makati,"35,001 to 45,000",Full-time,Hybrid,QA Engineer ,Data Engineer,2 to 3,_,"None, I've used Pandas but for studying, not for work applications yet since I don't have a need to use yet",Google drive,.,none,_,Google sheet, ,"Amazon Web Services (AWS), Google Cloud Platform (GCP), Snowflake","Apache Hadoop, Apache Spark","Google sheets, Excel, Dropbox, Google Drive, Zoom, MS Teams, Google Meet","Python, R, SQL","Chatgpt, Copilot",.,laptop,"No, I just found out now.","No, I just browsed through.","Analytics Association of the Philippines, Community: SPARTA PH, Data Analytics Philippines, Data Science Manila, Power BI Philippines UG, Project SPARTA, PyData Philippines, SPARTA PH: Data Engineer",Upskill / Skill acquisition,"Answer surveys, Connect with sponsors, Coordinate during events, Regularly post content, Resource for specific topic, Co-training/ Training",  ,LinkedIn,Local employer,34
College degree,"Sorsogon, Philippines",Philippines,Male,"Cisco, Coursera, Freecodecamp, LinkedIn Learning, Udemy, W3Schools",Telecommunication,Career shifter,Work city different from residence,Cavite City,"55,001 to 65,000",Full-time,100% onsite,Academic,Management,1 - Just me,none,"Pandas, Spark",  ,None,Power BI,None,.,none,na,NONE,"Google sheets, Excel, Google Drive, MS Teams, Google Meet","DAX (Power BI), M language (Power Query), SQL","Chatgpt, Claude, Copilot, Gemini, Github copilot",Colab Notebooks,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Big Data Analytics PH, Community: SPARTA PH, Data Analytics Philippines, Data and Analytics Manila, Power BI Users Meetup, Project SPARTA",Decision to shift,"Answer surveys, Mentor, Volunteer to speak in events",More meetups,My network  - people I know,Local employer,23
College degree,Davao del Norte,Philippines,Male,"Coursera, edX, Freecodecamp, SoloLearn, W3Schools, Youtube bootcamp","IT, BPO, and Business Services",Student/ New grad/ Career Break,na,  ,,none,na,none, ,N/A,N/A,_,_,na,_,  ,_,.,NA,NA,"Google Drive, Google Meet, Discord","Javascript, SQL","No, I do not use AI currently","Kaggle Notebooks, Azure Notebooks, IBM Watson Studio, Deepnote Notebooks",laptop,"No, I just found out now.","No, I just browsed through.","Data Analytics Philippines, Power BI Philippines UG","Career advancement, Upskill / Skill acquisition",na, ,na,Multinational employer,20
